account_id,total_amount,avg_amount,tx_count,avg_balance_diff,zero_balance_count,riskScore,class
C1575142803,103409.04,103409.04,1,0.0,1,3.11,NORMAL
C199462424,57778.1,57778.1,1,0.0,1,5.17,NORMAL
C2018735264,340112.62,340112.62,1,340112.62,0,50.73,NORMAL
C1416769449,238683.8,238683.8,1,139374.0,0,18.78,NORMAL
C1285830355,92209.8,92209.8,1,92209.80000000005,0,13.86,NORMAL
C1041503361,167539.3,167539.3,1,2200.0,0,1.1,NORMAL
C1236928666,201153.25,201153.25,1,0.0,1,3.59,NORMAL
C1943559410,197281.93,197281.93,1,73573.0,0,8.2,NORMAL
C1918420046,122449.05,122449.05,1,0.0,1,2.23,NORMAL
C1612555749,313664.84,313664.84,1,164594.0,0,24.62,NORMAL
C1942755450,46561.05,46561.05,1,46561.05,0,9.43,NORMAL
C1095561096,216875.53,216875.53,1,0.0,1,4.96,NORMAL
C1368227358,230432.25,230432.25,1,16606.0,0,2.73,NORMAL
C132091117,42740.0,42740.0,1,42740.0,0,9.59,NORMAL
C235049844,531980.48,531980.48,1,0.0,1,23.27,NORMAL
C439457003,822244.99,822244.99,1,0.0,1,37.78,NORMAL
C1422450022,46666.16,46666.16,1,23156.0,0,5.36,NORMAL
C366224747,290833.31,290833.31,1,9076.0,0,4.51,NORMAL
C1662299226,96146.15,96146.15,1,0.0,1,3.4,NORMAL
C1425774002,234900.25,234900.25,1,5355.0,0,3.58,NORMAL
C1372591587,27975.24,27975.24,1,280.0,0,9.87,NORMAL
C243852255,235397.42,235397.42,1,0.0,1,5.16,NORMAL
C1439239672,89887.46,89887.46,1,0.0,1,3.63,NORMAL
C1259755459,504434.74,504434.74,1,0.0,1,22.08,NORMAL
C905383411,8104.72,8104.72,1,0.0,1,17.69,NORMAL
C1199238697,23514.11,23514.11,1,19472.0,0,8.57,NORMAL
C640363663,8246.25,8246.25,1,8246.25,0,13.39,NORMAL
C1139596685,469057.86,469057.86,1,304923.45,0,52.2,NORMAL
C879535390,190995.42,190995.42,1,190995.42,0,27.43,NORMAL
C1195469187,146934.48,146934.48,1,0.0,1,2.05,NORMAL
C1748587379,6770.91,6770.91,1,0.0,1,18.24,NORMAL
C1164155731,213051.01,213051.01,1,10538.0,0,2.6,NORMAL
C934707720,402234.86,402234.86,1,11971.0,0,12.08,NORMAL
C945880921,119887.42,119887.42,1,0.0,1,2.11,NORMAL
C1666372980,54774.0,54774.0,1,54774.0,0,10.67,NORMAL
C1964004947,190474.07,190474.07,1,594.0,0,2.76,NORMAL
C453086010,13867.94,13867.94,1,0.0,1,14.5,NORMAL
C74171179,1443.84,1443.84,1,1443.8399999999965,0,15.37,NORMAL
C983992720,98560.74,98560.74,1,54065.0,0,7.26,NORMAL
C1799966941,225551.94,225551.94,1,0.0,1,5.05,NORMAL
