src,dst,amount,step,fraudEdge
C1575142803,C856854353,14113.95,1,0
C1575142803,C1833831997,7407.13,3,0
C199462424,C1323285814,5137.91,4,0
C199462424,C1320283595,25515.09,6,0
C199462424,C1119457986,28281.63,7,0
C199462424,C2062164647,32669.28,13,0
C199462424,C489156799,21266.23,18,0
C199462424,C2009324208,29668.65,22,0
C199462424,C773317079,38060.96,23,0
C2018735264,C2060950168,5559.41,25,0
C2018735264,C1075370721,5287.46,29,0
C2018735264,C563679117,30384.44,32,0
C2018735264,C916634641,36621.72,33,0
C2018735264,C483776122,6678.9,38,0
C2018735264,C188740813,4400.61,42,0
C2018735264,C956645452,41555.53,45,0
C1416769449,C2021616196,38766.88,50,0
C1416769449,C54294789,42838.23,51,0
C1416769449,C102709320,19316.25,52,0
C1416769449,C114776086,31966.38,56,0
C1416769449,C950466075,8551.38,59,0
C1416769449,C1497814741,10870.6,62,0
C1416769449,C1950049371,35240.11,65,0
C1416769449,C2029072936,32577.75,71,0
C1285830355,C238975352,13862.42,76,0
C1285830355,C487512272,34564.02,82,0
C1285830355,C2037713871,34388.41,84,0
C1285830355,C53325627,11837.88,85,0
C1285830355,C1195204364,40349.77,86,0
C1285830355,C1642064612,13753.17,90,0
C1285830355,C1159140488,45700.24,92,0
C1041503361,C6855451,7572.14,97,0
C1041503361,C212226566,12708.06,99,0
C1041503361,C236413955,27179.38,104,0
C1041503361,C1079174282,29437.01,110,0
C1041503361,C1340857712,20270.33,115,0
C1041503361,C407422824,49867.63,117,0
C1041503361,C98247698,25721.55,119,0
C1236928666,C2133436151,30022.25,120,0
C1236928666,C1619116297,19390.15,124,0
C1236928666,C968660239,26691.16,128,0
C1236928666,C217076635,43108.6,133,0
C1236928666,C1201702509,34174.03,134,0
C1236928666,C1896793459,34244.66,135,0
C1236928666,C1391303842,37668.45,140,0
C1236928666,C489156799,17338.69,146,0
C1943559410,C242862115,13537.76,149,0
C1943559410,C1515868003,38217.13,154,0
C1943559410,C1236928666,45675.08,159,0
C1943559410,C700774192,15273.02,165,0
C1943559410,C1544045468,25629.31,171,0
C1918420046,C1305466972,27199.26,173,0
C1918420046,C1121076727,45965.43,178,0
C1918420046,C593983154,16545.72,183,0
C1612555749,C636238023,15721.95,184,0
C1612555749,C1148299416,12423.14,185,0
C1942755450,C340810163,24556.53,190,0
C1942755450,C1904088092,48910.23,191,0
C1095561096,C1767577028,43685.44,196,0
C1095561096,C1847590426,48235.96,200,0
C1095561096,C411629014,37885.63,205,0
C1095561096,C1502843799,10456.98,211,0
C1095561096,C1167198421,20250.12,214,0
C1095561096,C548721895,32668.96,220,0
C1095561096,C1591242196,45030.9,224,0
C1095561096,C1089402826,6489.71,228,0
C1368227358,C1052714340,29621.28,230,0
C1368227358,C1025620219,29627.79,232,0
C132091117,C1111619479,3414.25,233,0
C132091117,C792437505,45318.29,234,0
C235049844,C2079759853,14284.62,237,0
C235049844,C226927588,11104.72,241,0
C439457003,C535673824,9925.29,243,0
C439457003,C764677709,33119.65,244,0
C439457003,C1765680369,21467.14,247,0
C439457003,C1153647536,43259.92,251,0
C439457003,C292745604,33831.55,252,0
C439457003,C105493020,5371.68,258,0
C439457003,C95888305,36546.57,262,0
C1422450022,C272356076,22706.37,263,0
C1422450022,C1936765684,9582.66,267,0
C1422450022,C1215548543,12865.42,271,0
C366224747,C685133321,41883.37,272,0
C366224747,C572320355,46355.17,273,0
C366224747,C788622974,8732.4,275,0
C366224747,C401817712,24327.24,279,0
C366224747,C1826109553,45170.92,283,0
C1662299226,C1285830355,23022.91,285,0
C1662299226,C1423080038,34981.28,289,0
C1662299226,C826402421,49773.42,295,0
C1662299226,C2012490762,33262.63,300,0
C1662299226,C721637010,8162.44,304,0
C1425774002,C1891812296,27338.66,307,0
C1425774002,C1198166506,16023.44,313,0
C1425774002,C1824178782,29416.79,314,0
C1372591587,C1073819123,3864.06,319,0
C1372591587,C1803099256,20486.89,321,0
C1372591587,C1809899885,12687.66,326,0
C1372591587,C1680716543,2467.21,331,0
C1372591587,C1059585431,21251.63,332,0
C1372591587,C539909453,28478.73,337,0
C1372591587,C494285003,46767.96,340,0
C1372591587,C1139478382,33651.44,342,0
C243852255,C826402421,33748.67,345,0
C243852255,C1340857712,23132.62,348,0
C243852255,C2113404488,961.12,349,0
C1439239672,C343934374,7056.6,354,0
C1439239672,C1541036104,44102.78,357,0
C1439239672,C1830705975,18791.59,359,0
C1439239672,C1860447190,22190.14,361,0
C1439239672,C1065732964,35325.23,366,0
C1439239672,C826402421,49200.74,371,0
C1259755459,C1422450022,46977.04,377,0
C1259755459,C1524937803,13591.06,379,0
C1259755459,C780697705,37249.63,380,0
C1259755459,C1170770709,13981.24,382,0
C1259755459,C1137189607,10926.17,387,0
C1259755459,C474979153,10578.07,390,0
C905383411,C1755112748,41552.73,396,0
C905383411,C526559984,675.51,397,0
C905383411,C703398069,32037.11,399,0
C905383411,C1024202307,8498.31,402,0
C905383411,C1189566998,27808.18,406,0
C905383411,C1715627080,28264.89,410,0
C905383411,C183734705,4224.57,411,0
C905383411,C224523988,45244.46,417,0
C1199238697,C180897786,27849.99,422,0
C1199238697,C1652405049,6808.55,426,0
C640363663,C224786116,34262.3,429,0
C640363663,C295167762,5588.28,435,0
C640363663,C547553240,44264.67,440,0
C640363663,C1291726171,48704.93,444,0
C1139596685,C604989723,40633.2,450,0
C1139596685,C667185824,1726.92,454,0
C1139596685,C1117823277,46262.12,460,0
C879535390,C1262376507,19435.82,464,0
C879535390,C1015539728,43000.37,465,0
C879535390,C1590867054,10378.86,467,0
C879535390,C479562512,17808.09,471,0
C879535390,C192095750,11534.72,473,0
C879535390,C1468169251,10059.92,479,0
C879535390,C184693922,14290.85,482,0
C879535390,C1294431000,48361.01,483,0
C1195469187,C1449454720,49066.91,486,0
C1195469187,C1691890817,16891.92,491,0
C1195469187,C946683577,6209.42,492,0
C1195469187,C1327472972,9339.11,495,0
C1748587379,C841588436,22010.91,498,0
C1748587379,C2045923266,39428.19,504,0
C1164155731,C1059684532,2697.13,508,0
C1164155731,C314450188,583.72,512,0
C1164155731,C327322309,34499.43,517,0
C1164155731,C764677709,36983.37,523,0
C1164155731,C1936765684,18528.96,525,0
C1164155731,C497265393,47469.29,526,0
C934707720,C2054655290,15809.59,529,0
C934707720,C1137189607,16646.05,533,0
C934707720,C1353926970,15134.93,539,0
C934707720,C1955792345,9996.08,541,0
C934707720,C183063327,47048.0,547,0
C934707720,C1566397552,37532.66,553,0
C945880921,C784274279,14702.23,555,0
C945880921,C155474398,39395.06,559,0
C945880921,C1732920013,32907.93,564,0
C945880921,C1548679013,22368.41,568,0
C945880921,C1575142803,11078.22,574,0
C945880921,C1238948575,39789.9,578,0
C1666372980,C1697932129,26014.87,584,0
C1666372980,C241338795,31153.41,590,0
C1666372980,C829770876,41011.96,591,0
C1964004947,C132787845,12619.71,593,0
C1964004947,C1483782195,30758.06,597,0
C1964004947,C1338236223,23043.1,598,0
C1964004947,C1328000731,28995.71,604,0
C1964004947,C119109447,34969.54,610,0
C1964004947,C853583605,20282.82,614,0
